gps_ref,name,distance,rating,total_ratings,categories,latitude,longitude,address
"37.7749,-122.4194",Boba Guys,423,9.2,320,"[{'id': 13033, 'name': 'Bubble Tea Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bubble_', 'suffix': '.png'}}, {'id': 13034, 'name': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13128, 'name': 'Taiwanese Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}}]",37.772472,-122.42337,"8 Octavia St (at Haight St), San Francisco, CA 94102"
"37.7749,-122.4194",Sunset Squares Pizza Beerhall,404,8.2,8,"[{'id': 13064, 'name': 'Pizzeria', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}, {'id': 13006, 'name': 'Beer Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",37.776926,-122.415104,"59 9th St (Jessie), San Francisco, CA 94103"
"37.7749,-122.4194",War Memorial Opera House,429,9.0,603,"[{'id': 10039, 'name': 'Music Venue', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/musicvenue_', 'suffix': '.png'}}, {'id': 10042, 'name': 'Opera House', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/performingarts_operahouse_', 'suffix': '.png'}}]",37.778447,-122.420426,"301 Van Ness Ave (at Grove St), San Francisco, CA 94102"
"37.7749,-122.4194",Martuni's,427,8.7,425,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",37.772125,-122.422776,"4 Valencia St (at Market), San Francisco, CA 94103"
"37.7749,-122.4194",Monsieur Benjamin,438,8.7,505,"[{'id': 13148, 'name': 'French Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}}]",37.777475,-122.423307,"451 Gough St (at Ivy St), San Francisco, CA 94102"
"37.7749,-122.4194",Biergarten,443,8.8,994,"[{'id': 13007, 'name': 'Beer Garden', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/beergarden_', 'suffix': '.png'}}, {'id': 13165, 'name': 'German Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/german_', 'suffix': '.png'}}]",37.776082,-122.424013,"424 Octavia St (btwn Linden & Fell St), San Francisco, CA 94102"
"37.7749,-122.4194",A Mano,451,8.8,486,"[{'id': 13236, 'name': 'Italian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}}]",37.776922,-122.423705,"450 Hayes St (Octavia Street), San Francisco, CA 94102"
"37.7749,-122.4194",Ritual Coffee Roasters,463,9.2,954,"[{'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",37.776396,-122.424175,"432 Octavia St (at Hayes St), San Francisco, CA 94102"
"37.7749,-122.4194",Anina,473,8.8,387,"[{'id': 13006, 'name': 'Beer Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13025, 'name': 'Wine Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/winery_', 'suffix': '.png'}}]",37.776933,-122.424422,"482 Hayes St (Octavia Street), San Francisco, CA 94102"
"37.7749,-122.4194",Mercury Cafe,421,7.6,250,"[{'id': 13034, 'name': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13303, 'name': 'Mexican Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mexican_', 'suffix': '.png'}}]",37.774033,-122.424322,"201 Octavia St (btwn Lily St & Page St), San Francisco, CA 94102"
"37.7749,-122.4194",Patricia's Green,475,8.3,272,"[{'id': 16037, 'name': 'Playground', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/playground_', 'suffix': '.png'}}]",37.775919,-122.424434,"499 Octavia St (btwn Hayes & Fell St), San Francisco, CA 94102"
"37.7749,-122.4194",War Memorial Court,480,8.4,28,"[{'id': 16032, 'name': 'Park', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}}]",37.778766,-122.420947,"Van Ness Ave (Fulton St), San Francisco, CA 94102"
"37.7749,-122.4194",Brass Tacks,485,7.9,604,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}]",37.776933,-122.424422,"488 Hayes St (at Octavia St), San Francisco, CA 94102"
