gps_ref,name,distance,rating,total_ratings,categories,latitude,longitude,address
"34.0522,-118.2437",Little Tokyo Mall,457,7.9,61,"[{'id': 13263, 'name': 'Japanese Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}}]",34.049404,-118.240683,"319 E 2nd St, Los Angeles, CA 90012"
"34.0522,-118.2437",RAKKAN Ramen,491,8.4,38,"[{'id': 13272, 'name': 'Ramen Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/ramen_', 'suffix': '.png'}}]",34.049515,-118.239411,"359 E 1st St (Central), Los Angeles, CA 90012"
"34.0522,-118.2437",Japanese Village Plaza,499,8.5,221,"[{'id': 17114, 'name': 'Shopping Mall', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/mall_', 'suffix': '.png'}}]",34.048831,-118.240655,"335 E 2nd St (at Central Ave), Los Angeles, CA 90012"
"34.0522,-118.2437",Hama Sushi,503,8.4,159,"[{'id': 13276, 'name': 'Sushi Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}]",34.04867,-118.240386,"347 E 2nd St (btwn Central Ave & San Pedro St), Los Angeles, CA 90012"
"34.0522,-118.2437",Nijiya Market,496,8.0,112,"[{'id': 17069, 'name': 'Grocery Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}}]",34.048742,-118.240246,"124 Japanese Vlg Plz, Los Angeles, CA 90012"
"34.0522,-118.2437",Go For Broke Monument,444,7.2,16,"[{'id': 12013, 'name': 'College and University', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/education/default_', 'suffix': '.png'}}]",34.049645,-118.239555,"355 E 1st St (at Alameda St & Temple St), Los Angeles, CA 90012"
"37.7749,-122.4194",RT Rotisserie,149,8.5,270,"[{'id': 13314, 'name': 'New American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/newamerican_', 'suffix': '.png'}}, {'id': 13334, 'name': 'Sandwich Spot', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}}, {'id': 13342, 'name': 'Soup Spot', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/soup_', 'suffix': '.png'}}]",37.775026,-122.421156,"101 Oak St (at Franklin St), San Francisco, CA 94102"
"37.7749,-122.4194",Mr. Tipple's Recording Studio,158,8.6,292,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13000, 'name': 'Dining and Drinking', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 10039, 'name': 'Music Venue', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/musicvenue_', 'suffix': '.png'}}]",37.776209,-122.418502,"39 Fell St, San Francisco, CA 94102"
"37.7749,-122.4194",Zuni Cafe,236,8.8,1133,"[{'id': 13236, 'name': 'Italian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}}, {'id': 13302, 'name': 'Mediterranean Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mediterranean_', 'suffix': '.png'}}, {'id': 13314, 'name': 'New American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/newamerican_', 'suffix': '.png'}}]",37.773589,-122.421572,"1658 Market St (at Rose St), San Francisco, CA 94102"
"37.7749,-122.4194",SFJAZZ Center,247,9.4,476,"[{'id': 10037, 'name': 'Concert Hall', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/musicvenue_', 'suffix': '.png'}}, {'id': 10040, 'name': 'Jazz and Blues Venue', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/musicvenue_jazzclub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",37.776278,-122.421445,"201 Franklin St (at Fell St), San Francisco, CA 94102"
"37.7749,-122.4194",Nojo,253,8.6,495,"[{'id': 13272, 'name': 'Ramen Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/ramen_', 'suffix': '.png'}}]",37.776799,-122.421475,"231 Franklin St (at Linden St), San Francisco, CA 94102"
"37.7749,-122.4194",The Beer Hall,251,8.4,369,"[{'id': 13006, 'name': 'Beer Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13025, 'name': 'Wine Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/winery_', 'suffix': '.png'}}, {'id': 13057, 'name': 'Gastropub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/gastropub_', 'suffix': '.png'}}]",37.776751,-122.418247,"1 Polk St (at Market St), San Francisco, CA 94102"
"37.7749,-122.4194",Hotel Biron,284,9.1,308,"[{'id': 13025, 'name': 'Wine Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/winery_', 'suffix': '.png'}}, {'id': 13148, 'name': 'French Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}}, {'id': 13302, 'name': 'Mediterranean Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mediterranean_', 'suffix': '.png'}}]",37.773503,-122.421854,"45 Rose St (at Market St), San Francisco, CA 94102"
"37.7749,-122.4194",Rich Table,293,8.7,829,"[{'id': 13148, 'name': 'French Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}}, {'id': 13314, 'name': 'New American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/newamerican_', 'suffix': '.png'}}]",37.774857,-122.422938,"199 Gough St (at Oak St), San Francisco, CA 94102"
"37.7749,-122.4194",Warby Parker,313,8.9,232,"[{'id': 15024, 'name': 'Optometrist', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_opticalshop_', 'suffix': '.png'}}, {'id': 17037, 'name': 'Eyecare Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_opticalshop_', 'suffix': '.png'}}]",37.776744,-122.422189,"357 Hayes St (at Franklin St), San Francisco, CA 94102"
"37.7749,-122.4194",Dumpling Home,338,9.0,75,"[{'id': 13106, 'name': 'Dim Sum Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/dimsum_', 'suffix': '.png'}}, {'id': 13137, 'name': 'Dumpling Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/dumplings_', 'suffix': '.png'}}]",37.775828,-122.422637,"298 Gough St, San Francisco, CA 94102"
"37.7749,-122.4194",Davies Symphony Hall,348,9.3,910,"[{'id': 10037, 'name': 'Concert Hall', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/musicvenue_', 'suffix': '.png'}}, {'id': 10039, 'name': 'Music Venue', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/musicvenue_', 'suffix': '.png'}}, {'id': 13276, 'name': 'Sushi Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}]",37.777603,-122.42057,"201 Van Ness Ave (btwn Grove & Hayes St), San Francisco, CA 94102"
"37.7749,-122.4194",Linden Room,347,8.9,149,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}]",37.776635,-122.422756,"330 Gough St (at Linden St), San Francisco, CA 94102"
"37.7749,-122.4194",Ted’s Market,359,8.6,198,"[{'id': 17069, 'name': 'Grocery Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}}]",37.77286,-122.416154,"1530 Howard St (at 11th St), San Francisco, CA 94103"
"37.7749,-122.4194",Nightbird,357,8.4,84,"[{'id': 13000, 'name': 'Dining and Drinking', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",37.77657,-122.422752,"330 Gough St (Linden), San Francisco, CA 94102"
"37.7749,-122.4194",Blue Bottle Coffee,376,9.2,1145,"[{'id': 13032, 'name': 'Cafe, Coffee, and Tea House', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",37.776304,-122.423238,"315 Linden St (btwn Gough & Octavia St), San Francisco, CA 94102"
